User ID,Number of friends,College Education
CJ6X9G59-XOJE-LMGN-5TQ4-Q6J9OEHWMFLX,108,Yes
RCGHR94E-CEKC-72JL-KW3J-8ZLHHJ7BGOPB,132,Yes
ZD4BYTFI-F11O-HXJ6-BT57-ZJ2U4HHDFOR6,0,No
S0ZC7BHR-27LH-8DU3-CDNH-BNU15MT7BV2Q,0,Unknown
2WU93CGG-04YW-XM8W-XVL2-WYD19SF6R72C,0,Yes
RFX5ZFFS-T59H-8NZV-WW7G-P4TZPSQID1UF,0,No
MWEXFK3B-5BSY-PLC7-E29J-F5CHDK7WCFXV,121,Yes
HBPU0UMT-1FJG-GHTC-7HEY-NM3ST68A2AZ5,103,Unknown
8MR85XAU-UEAZ-FK51-WP0B-DRKR0XCA1KGX,148,No
Y0BANHLX-OHZ7-L5QS-19H8-GFKU12Q89UY9,120,Yes
CWS3DZEQ-I9BF-JM3L-F89H-74JP080A0KOE,108,Yes
J1YFSL4C-I43D-KPQY-LT83-DK2F3S842TIK,109,Unknown
TDTDOJRY-PM3F-3CJO-P0KA-A56F9C74VCE1,110,No
9CUK3ZIK-0TH3-N0ND-AJA4-5351AU8EXKVO,0,Yes
R95J6HHE-ZYOR-8W0P-R5OS-C654PT28LRGB,124,No
XQRIHB4C-4WV6-0SBJ-3F8F-E6HRMKJTXEMK,150,Yes
I5IQ8OIS-Y0TD-VW1V-Q1DY-RSXB0E755CWZ,135,Yes
KMK2DJB7-UESH-JCWW-ZGHL-P9EVC8IS3XT2,48,Unknown
ST0DSKSS-TNCZ-97AY-FD0X-9D8W9GOCO08M,49,Unknown
GIZ94IHP-KWEY-TOPO-WDVY-E09PM9J9G3XD,90,No
7EFMLAAU-HNSC-J1WI-NNOI-YIW4B8NN33P4,87,No
1S1YB3G5-W91B-RAYA-6LPZ-L7U9ABUJR8FL,0,Unknown
J5YR9JNU-K3GK-0RUA-VE5U-JTSNBIPEQEAQ,125,No
3SSQODQ7-JUYK-1GF4-V8XD-2LVIWJ1BIZZU,125,Yes
P24WYG5K-S41B-J6KB-LZLJ-S8UI22MQWA3C,118,Yes
K4CZ8R7Y-7ECT-WM1N-KHKZ-CPVJMSQVILWJ,113,No
MQVUPUDE-JD9P-XI7D-3OQ1-8OREV5S1WU5E,0,Yes
U0G9819B-P50U-2XC4-RDS3-38UJLIX8HL4W,107,No
KY4VL2H3-N6B8-DZ3A-O6SP-RFY9LT2LSQXP,0,Yes
1DZNRD5F-BQ9Y-AVN0-WHMH-BZX89YR7HBZV,111,Yes
D1VTPJB4-ZPJD-69PE-82E5-MSF6V19XVE47,125,No
5EFPJSTO-BO9A-5MXE-NAZ0-5ZQ3CLZB995M,124,Unknown
Z6HZNIBL-U107-VOW3-U2N7-7PFFPKS97SBJ,106,Yes
47EERENI-G4MA-768R-N0TC-NB44PDOIZ11I,96,Yes
P8QD92PX-C3EW-N1GR-208I-WKGMG15KFIT1,114,No
ON33EQHZ-5MRO-7GP9-RYH4-I7UZ4BX19APB,0,Yes
U53L1HTM-CP79-87BX-TKMP-WDL5XGCUKMMX,117,Yes
KNIUU00Y-RYFB-C0WF-4RT3-ZQYBT8WFMZC1,153,Unknown
I7W5R0DT-7BW7-4GYS-QJKR-3HHXF3TM3OZG,46,Unknown
6AVA8XER-JIOR-TY8Q-5TO1-7PZFI4U6P5I0,106,No
3R0G72NW-AQPY-Z40P-9YIL-B1JNI1G68XTA,122,Yes
LNQ3JM5H-FU4N-C845-ZW4L-WKTUJ7LWFXBV,101,No
6B3XP42M-MFJO-HJYX-HO46-AF34AV09ONYE,108,No
WK11RWAP-7TP0-5468-0SQU-91B6BR359W06,111,Unknown
RC61KXD0-XD43-YG8T-JQIQ-SBUG1PRY1UC5,85,No
WZDE5LSP-1BC8-AGEO-UQKA-O17YDF5R4WN4,0,No
GVTVV3RL-MN5A-JEDP-JPUI-40VWV1CPRL7W,61,No
9KXASKI9-1CPD-WAJT-6O70-IWQ7ER0NEHPA,101,No
WKX6K10N-4U10-1AP3-6Y5Y-WZKRLAX01YK6,105,Yes
35IZLX2J-J1KL-RW7Y-KKDZ-F95Y1S6GGIDC,25,Yes
TXA394RT-STIS-UJCN-1BV3-VTIDAT7L5IO9,0,Unknown
IU57LVNX-7P7D-T3I1-29HC-C5M5UV0824TY,118,No
8VO3OYKS-3H34-MKQT-ZBSG-2KZXZUI2KFR8,104,Yes
81YBZLMF-HT8N-E6X2-N3TI-X9CIX9M0LJS5,93,Unknown
ZCHB8AY9-F1H6-8JVE-R6NK-Y3QUTA8KB6GG,107,Yes
WGCO0COU-9CVH-LQEB-F9Q3-ZE7PI31N5NIH,135,Unknown
G2JCYRPQ-7NV4-0I7E-CJMM-P9Q5Y1CIUVAK,97,Unknown
GN88YCGX-LEA9-PCPM-8M7M-LZTQB9WZMEU2,0,No
80ZAT1KQ-U4O7-A5RH-8VLU-ZDBG4CCHQTPR,87,No
4BL7ZOP3-OIFV-05WH-GSTO-U6KVTCBTPBZE,89,Yes
YI3D26GU-OMUC-J8Z0-FFUV-G6JGBQKXGDBX,105,Yes
48L6MQGF-9WSP-HP4H-6RZH-RS36FSNY6GBK,154,Yes
7XBRWS4K-W8FN-QPN0-PFVN-JD2LS4U1TZYW,105,Yes
DCJ7B1RX-OBM9-QBT8-DTKZ-5LH9P0ZRXE0B,142,Yes
NBY1BFPJ-S95R-F69X-37G2-Q6TT6E3HNJIE,167,Unknown
FCX6S300-0GWK-HLXW-QQTO-TC7L79PD3CWG,52,Unknown
0RNWLZFB-3ZOB-P3WF-V740-LTNH5HP3PBPI,135,Yes
EP9THJEE-ZJJI-SLWW-RN77-DQW0VIKBSOXH,65,Unknown
8LRXN59Y-15QZ-QENM-AMPU-MTX6S9QS4KA4,60,Unknown
1R648EJ8-PNAV-WP8U-V3OD-H0EYP55XHHF6,128,Yes
YW09ME2C-FBPW-VXKL-CJM9-W4CX4THJLFVK,32,Unknown
QC5UGCC6-08JJ-SKFC-93RH-OZH5M97R1R65,0,Yes
DWHFPUQB-L8P6-P907-P12H-CRHI5RTO4SEH,116,No
QL73PN1X-K1GM-VRGV-D37Z-AQG3FBMEZSRZ,108,Yes
1XXMGVUV-QCTD-V1WS-C3WP-JZTA54MIVOB0,164,No
X7ZOSGCQ-TEN7-7A5B-LWPY-B61GEGH6SB6P,153,Unknown
ZTTTI3JF-H47E-9FAD-331T-2XUTWAO9KPP1,95,Yes
4DFS7VHX-1JAN-002G-4DU3-2KMP00ZXTY0G,96,Unknown
SCD41YL2-O1FI-NP54-XB36-KACYB997ONG9,110,Yes
0B9IZH56-3GOS-BJ43-IBZ3-52VQ38ZVBUXI,0,No
DVZSTGEO-4NUT-2GAD-83H6-60UY11OQX5FK,94,Yes
P463EAMX-TMYR-F11T-LGJR-T0MOR6H8X14X,117,No
Q5HZPKNP-LJRM-780C-5FNA-2P0CFT3A1IS6,0,Yes
MKA1VK66-F30Q-TLEK-LM1P-GOSU20LL0MY4,0,Unknown
DNWTI4BU-DCHE-YQ6L-N9E2-981NUCY3HJXF,160,No
0IIRWNEJ-WZSK-XHR6-M3BV-9LJXCY9T4M2X,0,Yes
MDZS7KWA-8NED-PSBV-OOKF-QIT7B5Q475NK,131,Yes
NO04EPBM-QLPC-3N1K-7T1U-JQGARFYZ0TFM,0,Unknown
H24XT1S2-8RLF-ZI8S-FEVS-KTPWP1Z3S4KZ,102,Yes
1KKRWKOP-QPLQ-CGZR-37MC-I968AY7B2W5U,118,Unknown
MSAA2M06-56UZ-DMXN-5640-WKAWUNONZMU1,109,No
UYJSY6H0-TD05-SJD4-3JQF-ZJ45FXJJ7QN4,0,No
JRL297SB-Z19P-D2X9-MB45-11I9CE7A730E,106,Yes
9KZ5CQSU-MU0B-35X9-JTIZ-DOY88YRUVJZ3,0,No
4OFLQCQH-1KKC-YBS5-NJ2Z-DRVIRAYUP0GR,95,Yes
Y43MFCBA-AEOV-4D5Q-S018-SF18ZSIYY8W2,89,Unknown
ZOHHOYR4-R7QZ-MRHH-P0SY-34GCFDM0QEJP,91,No
RNKHBBVQ-JDHI-P3CV-PCH7-A37IG8WLUXK8,115,Unknown
QNNF9NVC-XH4U-D4FS-Q1WN-O8EOM759HEKV,97,Unknown
LH6VN2C3-NNVQ-048K-2YO4-SFOFIQI4H9IT,96,Unknown
3U33QTUR-FB1H-4QJ2-MB8O-4DP9SUI4J4M5,0,Yes
5CKXU6O9-RNE3-2KHP-MK9J-501KGG8WZLPT,113,No
HWBO9RLF-9UC0-UHHY-OBN1-R1OBUKBRZ6YB,121,No
SFRCESPA-2PLT-J9OI-ZPBM-T9ZANTLO2MPH,135,No
DIH0YACQ-DSAK-UAVV-BGCT-9XO9XYLCT1RR,80,No
445F2QKI-W1ZQ-K4H7-XJ36-A6DU5SPIKDX3,67,Unknown
0VU3YJ0C-W635-KPJ4-N4S1-VOABK7UBTYZR,90,No
RBBM9S77-B3DW-849K-595Y-F6GNBTA8VGJW,84,No
3RPCMZ3L-X7XV-X2Z4-JCHK-VBZH64U6E1AB,109,No
P9GV3ZNB-O0CS-LVII-426U-DPNSV7A3VQ3S,103,Yes
JCKTPF6K-MGKE-FON7-MG0S-23826XS5466X,0,Yes
6RVT89XX-DT66-KPH3-LDYN-T3NOTVCI2REJ,0,No
SNRY6WCY-HEKU-BTV6-1K00-CC19GSG9MFN6,99,Yes
5U95GBXN-ZZMT-K7CG-JL34-UFWNYX4IFEF1,94,Unknown
Z5RG66X7-5W4N-MYQQ-O9W9-CIC8PIR31JG8,142,Yes
MOPXGQ6T-P8YX-JH4Q-WEHS-189LX8I3LLGX,78,Unknown
Z54A87HY-LKCM-SBGR-1H6H-H3KZV079SYLD,103,No
1NXOAJY4-B5DP-MZSE-CEZY-CLCXRFAXJEY2,50,Unknown
G773R45H-D1J4-MKRU-0O5S-CPXD667UHTDI,67,Yes
IH1XK4O1-GZKX-NQZN-4RA4-FJYYJ3G0P5WY,102,Yes
TBBJPEWZ-3Z7J-3CH6-25MJ-MM5IRZ7CGD82,160,Yes
MVD9Y36G-GOX0-JT5C-7FGN-5BGIOD7PWFTM,85,Yes
XOOURIDJ-F0LN-C40N-0PU0-ADOA25HRS0DE,113,Yes
A72HJ95B-XU0I-ES57-GDMZ-G7NZYSB3NBYX,138,No
5JFQ56K2-V3WB-7S9Y-8V97-4T7SXKNE525K,117,No
LOAEJEI7-LBO6-MCHF-M5RP-9OXGWKN2VR6C,140,No
7I3ZXUAE-02SA-NNUF-ZWTX-7V8UACECACDO,0,Unknown
F0EDU0RJ-U2DA-HFPQ-FUD0-BWMOMYAULJJG,0,Yes
95H0UFZL-LDQW-WRL5-3IX5-I67PND85R9NJ,0,Yes
YZQIFWIQ-3CWQ-T2LK-K345-6T1SDL45TEAH,0,Yes
KSBV4VAQ-9L02-YV0G-8H28-IU26WJ1R8N7T,142,Yes
0BXJWJUX-PSC1-343Q-G65L-GDA27RSCE2JU,57,Unknown
8PFMJIBS-V0BE-IY24-QNBG-XSE15CWXH7QA,95,No
91WKVA13-GWEG-LD5U-REH3-17Q2KM6P6DUF,138,No
CSQQ0QN5-FS0T-8WCJ-FV3O-UUKL32H3ANVA,100,Yes
FGMCEBN0-6OSE-YYUS-HLKB-TB366KTIEOIO,151,Yes
RI1WIJ3X-Y3AU-4K50-Y1B1-M97XVCJTEE7I,112,Yes
RF53620M-AD29-WYNQ-IUCL-VZ5HBOVBX3XN,90,No
L9NS4SSG-05AK-O39W-I8KM-KFGVJNV42LZX,92,No
0I8NKR3F-06FJ-K8X1-LGBC-46R1C3KN1X2X,54,Unknown
S4GW515B-P6IR-EVBQ-R1VL-HUC6PP2FSPNB,102,No
ZA014NRH-I4Q7-9EBP-RIFX-BONH59V3ZLIP,56,Unknown
OXSO44YI-8GD2-ZX5B-M8VW-VS0CG0EBWGN6,0,No
2JV0ZDJF-5Y7I-IG2X-WYPM-M9FRDE7UAFB7,158,Unknown
24OB2DJH-RFEV-4CLB-X697-K4AFTMZKN4T4,103,No
28PSS74U-T9B6-KYX7-MTRM-JCN2RHIC2LLP,86,Yes
UECE6N9H-J6CP-21US-GGL8-KGVWX6NOULCI,115,Yes
LD21ZF14-SWOL-JGSI-NW39-5JUDOV0DPA3Z,139,No
9PJP5UO2-AOHK-NI67-9DV1-972MFQL5HLH0,99,No
XYE76ZNE-DKCF-UZ0T-HTS5-QLTFAYHUVYLB,143,Yes
7HHU2NOB-VIXQ-BWMD-CWHX-VZQA935RIBQ1,0,No
FY025ZYJ-6P41-Z9ND-DY77-7ZDUBUW9VTTR,106,Yes
BR4N7DH8-IHNA-TALJ-NDQK-QO3I06B2E8V0,168,No
PYR6LO95-YPVA-1J7D-U8V5-Z6M50UBTWENB,54,Unknown
3QN73NWW-JIQ9-J3E5-UB9B-ZSLL8RAP8IWP,114,Yes
J6XY0JKB-23LW-0C96-NCW8-MUP74S6BRRS6,95,No
YDKTF4F3-IDNL-WUY0-77XZ-DEAMF8S4FSIQ,0,Unknown
2CWC7ZZV-ASIG-GHOH-ZKH3-UY7KTV19OHHA,0,Unknown
XDISLQVS-I8T6-M01K-9316-9WY7V0LK0NJL,111,Yes
86KUR6IG-MOJT-8EN5-GMJX-KS5X7ENKRK9R,78,No
4D69LA4J-A6QN-SID4-KUMA-0YLAD7NV2XO7,157,Yes
DTME14NA-YW0X-6AHK-RJSQ-54NXXNFV3O89,131,Unknown
VU5SRZLV-T3R2-TJ63-RW0D-3UVW1SWERNDV,0,No
7HVVMDY5-NMMM-LU7J-2OPU-8KO6GM7ATHHJ,106,Unknown
QET4LZAM-EP2E-ZDGM-F6N3-NSKN1QGTXDWZ,122,No
O0NDUBIM-IAKB-5CMY-VCK5-DTUU56KXLFK1,0,No
GL36NCQV-N3D6-VY04-OWIB-6TE27P8LJSTN,97,No
1DHN6SA4-G0I9-DD7W-0PO3-8A4CVO234S5K,91,Unknown
VJ3Q8PK2-3K8A-QCVR-RWGR-K9G177431MTI,89,Yes
59I22YIE-5W84-OQ6F-4UN3-23SIV07L1VWA,0,Unknown
LAB3LPI2-DJ52-4CU3-HIZ3-FEIDOAPXUGCL,100,Yes
R2XWD86H-JSZ1-YFO9-K89D-NSTX8RSIBR96,0,Yes
HM3V8OLN-4HAN-C416-EO7O-PEYI3EH5UN6H,117,Yes
VS8RE98W-RN2N-ZRAX-2C1L-Z265QG8LQR58,0,Yes
48BUDVTS-GP4Z-GPM3-1YO2-4RGP2FMK9IXA,95,No
7TYZ808O-3C0L-SO9R-DFGG-JQYIUUD42289,141,No
XCMURF0C-RDT6-OIF9-306V-ZCNFSTR0JTTV,0,No
E0N2ZNBO-QUT8-9OWG-QNA4-UWH97QUNZ5FM,0,Unknown
YWCC5UKU-0DQ8-0MTN-ZTYA-AYDN1EJ9AA9Y,0,Unknown
I6DNF5AF-9MGB-JMWL-808R-GKXB85LV6DAF,46,Unknown
UR1N4X2M-VSLC-Q8SH-70E8-0R5XQJSSEKU0,87,No
C59CXL27-3NQY-S234-4DHC-FJ1RKL2KIMAE,165,Unknown
CKI2PEK9-AUNY-N9FK-MGC6-7T2CFWK2GJEQ,141,Yes
5NSIMWJ7-VPTP-ZJQ4-9QOL-2PMHDG5U9Y0A,102,Unknown
B4UTEAH2-OMYO-5WOF-R86D-TDSSIIVMUMM5,89,Unknown
SXCO9C2B-B4F9-XEPK-CRUA-3PWMW0BKZT0L,95,No
75QUE41I-HE0T-7YPE-SODW-NW56C34M72AC,111,No
9AKI45SL-DJ9D-EGH0-O3MJ-Q40IW01TNO8H,104,Yes
2TDNDJ8G-VPHU-1RL0-BFPE-9LWTARFFJSMM,0,No
55MNGCV1-P5L3-SJHO-JNSL-4P4MUXW1HULD,0,Yes
8FSUC4LS-0RYI-LGNY-SBQP-DU0E0BIKI6F8,143,No
I2QDO7SV-S0UO-DFNC-PJUR-GWTLI38QY46J,121,No
GAONYHO4-KXV6-TGSW-T7K1-6ZZ6MPBLEB3N,89,Yes
J99RT8N3-2NAP-GSTW-WOL2-UREPWDL1287J,154,Yes
DC43CVOU-EB0Z-QD36-816E-2R09JKYN975R,0,Yes
CD3LS40Z-230E-1T7Y-JKIX-0Y58J0DXBT46,107,Yes
XSXJH14H-DXER-1TJJ-IX4W-Q0RS5I1LETHN,82,No
NXLOHI66-E3CN-W05W-209D-Y8GDG3C84L6U,123,No
BAJ7PEAH-X6QO-LRY4-6D6X-GP5YS5VRNYUW,83,No
C38HCBMF-DWOV-XNO2-326N-63RG4UYHQJZY,86,No
RTBDRCPM-1TCY-36IB-LIBA-YZSNJFPW0L1I,108,Yes
QKY6ZRE9-UBP3-ACA1-5IUC-5Y66NB9FOKGS,101,Yes
9MNUCBJP-TBF8-JGHE-LFSF-99B04KRFMIOU,112,Yes
MLRJ65KO-PJPB-M6EK-JWF5-SQ94VB7G0FXI,77,No
9MVEK66Q-6DHU-4FEM-TO6Z-M6ANFV1YFKDO,109,No
FZ5EXFFP-D98H-6H9E-OY3T-V121MCY19WYF,111,Yes
I90Y5AZE-F0Y1-69VG-GS2C-WTZI659UZ4QV,142,Yes
XZ68ZYCM-ICYQ-6XIW-DJH7-UEM1UG3MIYKW,0,Unknown
T2Q847W2-IIRK-65MZ-OT4M-9PR1C3NL4LRN,136,Yes
AC2ZT0D8-YCTN-LCA1-GM77-M84SI29ICDWB,120,No
YCC6IGXS-J9HW-7W5T-TKV6-37ORMY9GQDX5,0,Unknown
JUSKN4SH-Q861-0ZGM-Q4N3-WPM4PF5D4Y74,89,No
O075Y41F-UE4R-ZJX7-RIW3-G91IX9SSYDWY,91,Yes
RN13Q2TA-EWYL-YFY8-6X0M-ZO57AVCKDEZ0,65,Yes
PM7SYACU-ECNU-WTP7-HTHU-W00IBD0AOSOE,0,Unknown
E8YL9K3H-79GJ-9N6H-GBQ9-AVGOYHK8M6P9,127,No
TC1XE385-7GB5-64WV-22NA-EPJQCWQBV0RD,107,Yes
13KX6VSC-V0F6-CYGQ-97FY-Q043H98RGCUW,81,Yes
JIK25BAX-XVS0-M78G-OMFP-SM7WTY4NZ0RO,117,No
C17BQV7L-XO5D-SNTN-AQEE-LJKZOJAPIWVD,130,Yes
SZNUHJEV-QJIF-L82X-BVCG-UK7I5VCST72S,94,No
KWZJ35OJ-79OT-O76F-4XIQ-SAIHU7YBZ03M,0,No
BNY20A9C-MYNX-UNF9-JKD9-UN9K0N247BV4,99,No
IU5ONJFM-XCWH-6DKG-MIM7-CHGFGSNY8ARC,142,Yes
7O51QDW0-7U6V-UAXI-TS9L-202240225QQF,0,No
QJJ1FPAB-S0LB-54VK-5XJM-ZSLC1Y8UICTX,118,Unknown
RAHANL0V-RADA-5XXQ-H5VG-TOUTZDRV560D,89,No
5ACMTC9H-CVL0-NFHG-YDD0-NLU1ON87GFRU,96,Yes
EHK7B9YW-FGYP-P5K2-84UC-0DFO0XJ1NH9F,90,Yes
N809I8R1-5SHI-RGEC-QKDF-V234RAEB6EZE,77,Yes
RWWXMKWR-ZBHJ-0UPI-YE49-7O2CRK022BPP,169,Yes
N94UVR2F-J6OL-3MQA-IM54-9GDBFYQDXDED,125,No
JYL5VC25-3MAO-JA3Y-9X05-RL8L8FEOU5F3,82,Yes
714504RY-YTSG-U46K-ML73-CXG3TACAQ73E,145,Yes
8GEZKEU6-BNY9-BTJI-BU62-EVGO40FOHLXL,80,No
6WKC1IN6-LB8A-Z3SX-VT3T-CY3CQ1VSI2CH,,Unknown
4BEFB18M-BWVR-B4A1-03XO-RQJ1FPL31Q5X,161,Yes
0MKWVNNC-84MD-XSFJ-B2UX-RI3D5Y3XSKB5,160,Unknown
P1JT8M50-W3WG-9YBQ-WFRS-AQ6ECPXKSZE8,81,No
2TGS3MOE-IZ70-FBI8-RY9P-QRIMTD4AQNI3,64,Yes
N7P913KK-LXKV-7E4C-DLY7-MQDK9O1RVZ9P,0,No
BDEXT884-44JB-D30C-FWBT-VXDFWS712CS6,80,No
RSBLVJXD-TRVP-C8TA-MYXO-1C7LJEG52QIA,0,Unknown
DQARXQ8Y-1KJV-SEML-XWMH-0YOJI1DU8FC5,95,Yes
MR95URA1-L1I1-HZDW-0LQ0-PFO4A09252YC,0,Yes
9V9JA1VD-UVAZ-B759-G0IN-MHJQVTET9NUM,0,No
1SR82X2N-0IDB-8N5P-OHE0-PFZYSRGCUAH4,166,No
VO8E2FJJ-BK2R-3WBD-UW2Z-7MA5ITAHQW4D,129,Yes
ASGMBG3B-5D4P-GC6F-DT1W-RW8F5G6VYXNO,91,Yes
9D4C3V5M-UUVX-RD8L-HO6R-L1LK57BHO1NF,84,No
TX3B39OZ-95AX-LNB5-MT6I-DT1B5IKMLQQT,0,Yes
AOVU6MD1-A8WL-XH1I-TBHV-Q921GFHZGROP,0,Yes
JSYTDM79-B4RP-ZE5Z-P4RF-HGKD67GBSVGE,102,Unknown
VGMAAOFR-AR0F-2VEM-4C67-NVVM02VDC6LB,143,Yes
UBTPF6JG-Q6Y7-EWQ4-4VBO-GCV4BZF2QJDD,0,Unknown
JBMD6I9T-MHFN-3GVP-QOO3-JFNIW2K2TOHE,112,Yes
JPL2RND1-II1P-9O2B-CVI3-PYEKB3A35G2Z,109,No
6EG4UQUX-1V0X-52RK-HZ5Z-L6EGQ6KF3WHT,0,No
0MCF3VZ8-6IYP-6U2Y-UAFV-GVNAQA99IQO7,0,No
QZ1AFC6A-0CU9-Q9R5-00IY-J5RO8GYAMQ8U,138,Yes
2WWI18JG-ZZW0-1QPO-BU4E-G2KT6YHL2C7E,97,No
3QOWSH2U-TWKP-LYW2-XAI5-6XR2MBQ82WES,118,Unknown
LU0CPEPY-MJF2-KD93-L8VX-2PYGTF4TEF8R,95,Yes
90EDWDAC-RFNH-1NLF-FQ2Q-HU1XV1FRAE81,0,No
FFGSGQ6Y-05IS-4PPD-U5W9-MJH246SBK75F,81,No
9H6KACJV-5YCV-EPQX-SH4V-DTNR5CVZLKYL,54,Unknown
0HRQ1H3Q-JZ9E-8DGB-5ZJ2-Y884L6U7Z5GG,0,Unknown
RSHZRSR5-L4OU-OCRH-4RFL-FPVX5RLCD2UC,98,No
0PWM2VME-MCIK-5DRW-S0W1-NNLL70GWOPF4,89,No
WGD7P2KM-88R3-J2XN-B515-ZOG0HLR4NF5U,65,No
FBULTH8X-5DP5-14U5-457S-06EEWLOW8SQ1,83,Unknown
FEGR4PHG-JQ6S-9AP3-0V3A-W0DP4LU6QI6C,127,Unknown
AWHFNXKC-6BIY-UVYD-XNOU-L7OA2TX2WDSU,129,No
Q8X8B9OB-YRLR-ZHVH-BH8P-OXW3ZMMTL4RU,101,Yes
AOFVZK82-1G0H-N14B-6Z3S-R9DHHT3G0B8R,104,No
76EXRHXM-ASIR-1PRE-RB5E-4KSBHSCU36ZL,125,Yes
ZZ4ER4OV-DQFN-65Z1-0SVA-OTFYM24066EE,136,Yes
Z2T6QK08-NFHH-EUMD-TJK7-91TXTJNK8S3U,161,Yes
P3CJQ8SD-60AI-OXJA-NPG0-TZN4T17JGO29,0,No
AXX6AFVI-0NU3-HSK9-NQ6I-X2Z5LFITO209,148,No
U21JXCEC-MZBD-6LJ8-LCUP-HTHQFE912LXL,0,No
0CMGREHK-73FJ-0CLF-87F6-VS49SGP468CE,88,No
1YZ68N3F-SEC0-8ULC-4VQR-8BKUCXA75Z0Z,110,Yes
8G96UC1H-1UND-9GB4-J1VR-HK7HAD3S0TRH,127,Yes
RS6HO6HT-33O9-5GQ5-VYAH-888CIFJTHQTP,99,Yes
5OLX8XGO-4BQJ-6S9T-55GX-GBTV3W2A0TFI,93,No
53YCL4FG-5FDM-N6PO-2UW5-I2XF1OF9LNDG,69,Yes
89GFJ6X2-64W5-UULU-V4DF-7EVFXEGR8HB4,109,No
CWENJWAU-I13Y-7BWO-UXHR-73KG2J1BZPTW,92,No
2I9PLRXJ-CLQN-NNSI-ADN4-CWVTY48CLIIH,89,No
8G50GDZE-8RII-CR0V-810B-KK8KLUCB0VM1,88,Yes
0C001UML-YUAN-BECX-2A31-C88HH7Y4Q6KZ,157,Yes
Z2FWH05O-2WUM-DP50-K3HF-ASM1CLJM4FOU,109,Yes
XWBZP2K7-VRHX-4D6V-XMSG-LT7WGQW6ZFUD,109,No
AK18W9ZO-YCM6-1EPT-KDG2-M6P2R9TW84D5,90,No
L34WL46T-WWIG-QM3T-ER4L-ISMJI0EEHM9S,88,Unknown
F4NNNYQ3-EKDD-DJVL-UZY4-A8EXDDUPDUUJ,92,No
MY7T0JVT-QJM2-BGPL-D8FU-33THZGNO4ZK3,103,No
Q6GC1BPD-ZYVC-LEU3-I0XB-YGVL17UB89YB,100,Yes
RHYF4PHI-H91Y-D9Q2-89QQ-54ZHORI6A3B5,0,Yes
WDO8C3KU-CUFU-D0R2-JX6D-OY8I88KT7YYV,105,Yes
GQCQNXRC-YGQS-JWW9-VKBS-STFOALTIQ7R8,48,Unknown
7TUL1OYD-2S68-DU4A-CDAQ-DWYW1SA7RLD4,127,No
CDM6WJ0H-U2KI-0VGX-6WRZ-OXPMT8G48VFH,94,Yes
KNKG7B70-Q8C6-XKER-YBDO-OJYZ4890SGQM,93,Yes
8H0497H0-R9Z0-NYSV-ZCZT-PFC4JHWQG6N8,58,Unknown
ICL4KV5I-17TA-S3UT-FBST-3F6YWKMAYSTA,0,No
SLVB7AEJ-5U9X-6C6G-JY4Y-MTKM75LAMICB,91,No
XFAINP4U-0CG1-R803-UPYD-PRSJ74PFD263,105,Yes
YSHWU6KQ-5AWO-E0GG-PW6H-FK3TTX09LI8C,97,Unknown
CCSW0L2W-VGU1-EVZN-7PAJ-L50JBR4TMIF8,0,Yes
PUD88RXZ-S7HN-UZEA-UHU0-3H5LD5M9HN38,42,Unknown
J2ET63A7-N11Y-5RWQ-NZ3W-HLU4E870FEHF,116,No
9R5P06A1-XWWD-X3OZ-1TBR-YDRW5FUR22AA,118,Unknown
BRNSKAIC-S2NT-YLO1-2DH3-WRISUXUQOX13,93,No
3L6DOL14-18PW-T6M6-N5S8-CPDEYBQ69W8B,87,Yes
EY19HQXP-VYEG-PQTE-DGOC-BEMU2OWWA5WC,93,No
I4PNZQLG-BSJ8-YOWY-E03T-ACBBBV7AAHNW,92,No
X878ZJYH-FTA3-I34W-B0PD-2VRLBA8XAN1Z,125,No
H0SL2C4K-62JB-J3L4-GEF8-ITZQAG8DX8G8,101,No
9OSG1E17-WN1G-I07T-ZDTM-TZ2NRK6HUH6O,129,Unknown
PRSM3MHG-HW0P-IHKP-3C78-SGXSRJIRZX1Z,158,Unknown
UXAV3MQR-ROI2-NC66-K55N-XB01FD6LTGY0,132,Yes
K4D5TYKN-UEFN-5P3I-NA7N-986CV1H2R4ND,116,No
1TFD1Y9L-4SYH-BXE5-0XX7-2LUBYDGPGXUW,117,Yes
J7CDYSK7-ALB8-Y9HO-835E-PYY1VE2FG0ZZ,99,Yes
BHNV9A6Z-SOWC-F0YH-5H4D-VBBMBSE6DV5V,52,No
LT3QHPLJ-G18J-YFI7-HMGV-WO3VB85ADAPW,122,Unknown
DKFU7EKQ-O0GZ-AHWA-807G-4SAZYJ8FZ106,131,Yes
7AT1FKKI-KILJ-GPBL-0U90-ULQRN0IROLDA,0,No
BTPO4WMH-0TEF-0GKD-T1QO-4QI18D3MOF1F,73,Unknown
8DWLVBXT-WR60-QOPD-IFY6-E4F3HS04S503,152,Unknown
AIJQS19N-XQYU-3S7G-DEMS-RE4VJQ3H6QCM,94,No
L68RBNDY-PPAO-IIXF-TF54-QG7VV6SBSOC7,108,No
7UHESMEU-FVFX-VKS8-QE6Z-RLYS5ZDZ79DL,97,No
0K9MHSO2-872M-0Z3E-VKWZ-373WS6XH9PD1,106,Unknown
A73HQMGI-BEKS-PR48-QW83-EKXHULK56Z1V,93,Yes
